Title,main bahan,Ingredients,Steps,Loves,URL
Udang koloke,Udang,1/2 kg udang--1 ruas jahe di potong dadu--3 siung bawang putih--1 batang pre--saus tomat sesui selera garam gula penyedap kalau suka--sedikit minyak untuk menumis air--,Tumis jahe dan bawang setelah harum masukan daun bawang nya bersama udang kasih sedikit air setelah udang matang..masukan saos tomat garam gula dan penyedap.... angkat dan tiriskan mudahkan--,13,/id/resep/4331537-udang-koloke
Tumis kacang panjang udang (No Msg),Udang,"siapkan 1 ikat kacang panjang potong2--udang yg sudah dibersihkan (goreng setengah matang, potong2)--2 sdm  minyak goreng (yang digunakan untuk menggoreng udang)--1 buah wortel potong2 serong--bumbu :--3 siung  bawang merah (iris2)--2 siung  bawang putih (iris2)--1 buah  cabe merah (iris serong)--1/2 tomat--","Goreng udang setengah matang--Ambil 2 sdm minyak udang tumis bawang merah hingga harum, masukan bawang putih dan cabai hingga aromanya harumnya keluar, masukan wortel tumis sebentar, masukan kacang panjang yg sudah dipotong2--Masukan 1/4 gelas air sambil ditumis tumis--Masukan garam dan gula secukupnya koreksi rasa dan terakhir masukan tomat tumis sebentar koreksi rasa--Siap untuk dinikmati :)--",47,/id/resep/4323884-tumis-kacang-panjang-udang-no-msg
Udang Paprika ,Udang,"8 ekor udang ukuran sedang--1 sdt air perasan lemon/jeruk nipis--2 siung bawang putih (cincang halus)--Secukupnya garam, merica, paprika asap (smoked paprika) bubuk--Paprika merah (potong dadu)--Zucchini (tidak wajib)--1 sdm minyak goreng untuk menumis--","Bersihkan udang. Balur udang dengan air perasan lemon, garam, merica, & sebagian bawang putih cincang.--Panaskan minyak goreng. Tumis bawang putih hingga harum. Tambahkan udang, garam & merica, tumis hingga udang berwarna kemerahan.--Masukkan zucchini dan paprika, tumis hingga agak layu. Tambahkan smoked paprika bubuk.--Udang smoked paprika dengan cita rasa Mexico siap dihidangkan. *Bisa dimakan dengan nasi atau isi tortilla wrap*--",10,/id/resep/4323089-udang-paprika-cita-rasa-mexico
Udang Cabe Garam,Udang,2 ons Udang--2 siung bawang putih--15 buah cabe rawit domba--1 helai daun bawang--Margarin--Garam dan Merica--Tepung Sajiku--,"Sebelumnya si udang udh dimarinasi pake garam+merica, taruh dikulkas biar agak nyerep bumbunya. Sisihkan.--Cincang kasar bawang putih, iris tipis cabe rawit domba, dan daun bawang. Sisihkan.--Balut udang yg sudah dimarinasi tadi dgn tepung sajiku crispy (kalau ga ada, boleh pake tepung terigu+garam merica). Goreng sampai matang. Sisihkan.--Tumis bumbu yg udh diiris tipis tadi sampai harum dan agak kering, tambahkan garam, merica (plus penyedap lebih enak). Masukkan udang crispy goreng tadi kedalam tumisan sebentar aja.--Jadi deehhh... Siap dihilangkan 😃 --",10,/id/resep/4323286-udang-cabe-garam
Cah udang brokoli,Udang,3 ons udang bersihkan--1 buah brokoli kecil--1 siung bawang putih--3 buah cabe merah--3 sdm kaldu ayam--50 ml air--1 buah jeruk nipis--Garam dan merica--,"Potong brokoli menjadi beberapa bagian kemudian rendam pakai air garam sekitar 5 menit kemudian bilas dengan air biasa--Beri udang yang telah dibersihkan dengan perasan jeruk nipis lalu diamkan--Panaskan wajan dan minyak. Cincang bawang putih lalu tumis sampai harum sambil potong potong serong cabai merahnya--Masukan udang dan afuk sampai udang berubah warna jadi kemerahan--Masukan brokoli, garam, merica dan kaldu ayam aduk sampai brokoli layu--Tambahkan air aduk sebentar tunggu sampai air menyusut dan brokoli empuk--Healthy Food For Healthy Life--Enjoy... 🦐🥗🥗--",11,/id/resep/4322574-cah-udang-brokoli
Udang Furai ,Udang,100 gram udang--2 sendok tepung--1 Siung bawang putih--1/4 sdt Merica--Secukupnya garam--Secukupnya air--Secukupnya tepung panir--,"Kupas udang buang kepalanya dan tinggalkan ekornya lalu cuci bersih, kerat-kerat perutnya sedikit agar udang tidak bengkok--Ulek bawang putih,merica dan garam lalu campur tepung beri air buat adonan sedikit kental--Celup udang pada adonan tepung lalu balurkan pada tepung panir, lakukan sampai selesai--Goreng udang,angkat dan sajikan...--Atau bisa di simpan kulkas untuk stock lauk.--",12,/id/resep/4137656-udang-furai-simple
Sup tahu udang,Udang,10 ekor udang--1 buah tahu--1 buah wortel--1 buah tomat--1 batang daun--1 sdm kecap ikan--2 siung bawang merah--1 siung bawang putih--1 batang serai--1 ruas jahe--Lada--Garam dan kaldu--secukupnya Air--,"Cuci bersih udang beri perasan air jeruk, cuci kembali. Dan siap kan semua bahan lain nya.--Rebus air, tambahkan serai dan jahe geprek. Beserta bawang iris. Masak hingga mendidih lalu masukan wortel.--Masukan pula udang, lada, kecap ikan, garam dan kaldu. Setelah udang berubah warna masukan tahu, masak sebentar masukan tomat dan daun bawang iris siap sajikan.--",10,/id/resep/4320260-sup-tahu-udang
Balado udang ,Udang,300 gr udang kupas kulitnya--100 gr ikan teri--secukupnya Kerupuk rambak--1 papan pete belah dua--Bumbu halus:--6 siung bawang merah--3 siung bawang putih--2 buah tomat merah sedang--15 buah cabe merah keriting--10 buah cabe rawit merah--secukupnya Minyak--Bahan tambahan:--1 lembar daun salam--3 lembar daun jeruk--1 ruas lengkuas--1 batang sereh keprek--secukupnya Garam--secukupnya Gula/gula pengganti--secukupnya Royco ayam--,Blender bahan bumbu halus--Panaskan minyak secukupnya lalu tumis bumbu halus sampai harum--Masukan salam sereh daun jeruk lengkuas--Masukkan udang lanjutkan masak sebentar--Lalu masukkan ikan asin aduk2 sebentar--Masukkan rambak aduk2 juga--Terakhir masukkan pete--Lalu beri garam gula royco cicipi rasa. Aduk2 sampai pete agak matang--Hidangkan 😘😘😘😘😘--,15,/id/resep/4318439-balado-udang-ceria
Sambel goreng udang pete ,Udang,1/4 udang (kupas kepala & kulitnya)--10 cabai merah keriting--19 cabai rawit merah (opsi)--1/2 buah tomat (ukuran sedang)--4 siung bawang merah--4 siung bawang putih--1/2 blok terasi matang--1 papan pete--Secukupnya garam--Secukupnya penyedap rasa (opsi)--,Rebus cabai bawang merah bawang putih kecuali tomat--Setelah udang di cuci bersih.. Goreng udang 1/2 matang saja--Blender semua bahan rebusan kecuali tomat--Tumis cabai yg sudah diblender hingga harum.. Iris tomat masukkan ke tumisan cabai--Masukkan terasi matangnya sambil dibejek2 hingga hancur.. Setelah itu masukkan pete nya--Tes rasa--Terakhir campurkan udang.. Aduk2 sambal goreng nya--Dan sambel goreng udang pete siap dinikmati 👌👌--,83,/id/resep/4317261-sambel-goreng-udang-pete-%F0%9F%8C%B6
Sop telur gulung udang,Udang,"500 gr udang (cacah)--3 siung bawang putih haluskan, utk campuran udang--secukupnya Garam--secukupnya Merica--2 biji wortel--1 brokoli ukuran sedang--2 siung bawang putih utk sop--1 bh bawang bombay kecil--4 lembar telur dadar--1 daun bawang potong kecil2--Kaldu ayam secukupnya utk kuah--Seledri dan daun bawang (optional)--","Campurkan udang cacah dengan bawang yg sudah dihaluskan, daun bawang, masukkan garam merica secukupnya--Lembarkan telur dadar, sebar daging udang yg sudah dicampur td secara merata, lalu gulung.--Kukus kurleb selama 20 menit--Potong2 telur gulung udang. Dimakan begini sj udah cukup enak klo buat saya. 😁--Rebus kaldu ayam hingga mendidih lalu masukkan wortel.--Tumis bawang putih dan bawang bombai hingga wangi dan layu, lalu campurkan ke dlm sop.--Bumbui dengan garam, merica sesuai selera. Boleh tambahkan totole.--Beri seledri dan daun bawang jika suka (optional)--Masukkan brokoli yg sudah dicuci dng air garam biar gak ada uletnya 😁 klo sy suka radak keras utk brokoli nya jd masuk terakhir. Atau mau direbus terpisah jg boleh--Terakhir masukkan telur gulung udang nya. Dan siap disantap 👌🏼--",9,/id/resep/4317570-sop-telur-gulung-udang
Udang Saos Szechuan,Udang,"1/4 kg udang--4 sdm terigu--Secukupnya minyak dan air--1 telur--4 siung bawang putih halus--1 sdt paprika bubuk--Secukupnya paprika (me: skip)--1 cabe merah--1 batang serai--2 daun jeruk--1 cm jahe geprek--1/2 sdm minyak wijen--1 sdm soy sauce--3 sdm saos tiram--1 sdm kecap manis--2 sdm butter unsalted/margarin--Secukupnya gula, garam, lada hitam bubuk--Secukupnya pak choi/sawi--","Cuci bersih udang, buang kepalanya. Sisihkan.--Campur terigu, 1 sdm minyak, dan air secukupnya, paprika bubuk, lada hitam. Aduk rata.--Campur telur, aduk rata. Baluri udang dg adonan tepung.--Panaskan minyak agak banyak, goreng udang sampai matang. Sisihkan.--Iris semua bumbu dan tumis dg butter sampai harum. Masukkan sawi/pak choi. Tumis sebentar.--Tambahkan saos tiram, minyak wijen, soy sauce, Gula Garam, beri sedikit air. Aduk rata, tes rasa.--Tambahkan udang, lumuri dg bumbu dan aduk rata. Siap disantap.--",8,/id/resep/4316472-udang-saos-szechuan
Lumpia isi Udang+ Bihun,Udang,"Utk kulit--5 sdm tepung terigu--1 buah telur--3 sdm tepung tapioka--Utk isi--1 buah wortel iris tipis/ parut--1 bgks bihun--secukupnya Udang , iris tipis--3 siung Bawang putih--Garam--Penyedap rasa--Daun seledri/bawang--","Utk kulit, campur semua bahan dan aduk sampai rata. Setelah itu, cetak dicetakan khusus kulit lunpia. (Bisa menggunakan teflon juga)--Utk isian, haluskan bumbu, lalu masak sampai wangi dan layu--Masukkan potongan udang dan wortel, aduk rata sampai udang setengah matang--Masukkan bihun yg sdh direbus beserta bumbu dan cek rasa.--Terakhir, masukkan daun bawang dan seledri, biarkan layu, lalu angkat.--Siapkan kulit, dan mulai isi dg isian tadi--Setiap lipatan, saya lem dengan adonan kulit yg masih cair, supaya lengket dan tidak pecah ketika digoreng--Goreng sampai kuning kecoklatan dan sajikan selagi hangat😘--",10,/id/resep/4308589-lumpia-isi-udang-bihun
Tumis tahu udang buncis,Udang,secukupnya Udang  cuci bersih sisakan ekornya--1/2 tahu kotak potong2 goreng setengah matang--5 bh buncis cuci buang ujungnya iris2 miring--Secukupnya Garam..saos tiram..lada..kecap manis--Bumbu iris:--3 bh bawang merah+--3 siung  bawang putih--,Tumis bumbu iris..aduk2 sampai harum masukkan udang--Udang matang tambahkan tahu dan buncis kasih garam.. lada.. saos saori dan kecap manis seckpnya..aduk2--Tambahkan air seckpnya...aduk2..test rasa..sdh ckp enak..pindahkan ke mangkok saji...tradaa...--,15,/id/resep/4305913-tumis-tahu-udang-buncis
Bakso Ayung (Ayam+Udang),Udang,1 potong dada ayam--1/4 kg udang--1 sdt lada bubuk--10 siung bawang putih--1 sdm saus tiram--4 sdm tepung tapioka--2 sdm tepung terigu--Secukupnya garam dan gula pasir--Secukupnya daun bawang untuk taburan--,"Kupas udang. Rebus kulitnya bersama 6 siung bawang putih yang telah di geprek. Setelah mendidih, saring. Sisihkan.--Cincang dada ayam dan udang. Jangan terlalu halus agar bakso tetap bertekstur.--Ayam dan udang yang telah dicincang di beri bumbu bawang putih yang telah di ulek halus, saus tiram, dan garam. Uleni sambil menambahkan kedua jenis tepung.--Didihkan air rebusan kepala udang. Masukkan adonan bakso yang telah dibentuk dengan menggunakan dua buah sendok. Lakukan sampai adonan habis.--Masukkan garam, merica, dan gula pasir ke dalam kuah. Cek rasa.--Bakso dengan kuah ini bisa disajikan bersama sayuran kesukaan atau hanya di taburi irisan daun bawang. 👍--Adonan ini juga bisa dinikmati dengan cara digoreng. Dinikmati bersama sambal botol.--Tips : Adonan bakso jangan terlalu asin karena kuah telah di bumbui garam.--",13,/id/resep/4302229-bakso-ayung-ayamudang
Sambalado udang kentang,Udang,500 gr udang--6 buah kentang--2 lembar daun salam--Bumbu :--50 gr cabe rawit merah--50 gr cabe merah--1 buah tomat merah--10 siung bawang merah--4 siung bawang putih--1 bks terasi kecil (goreng)--1 sdt garam--1 bks royko ayam--1/2 sdt penyedap--Minyak goreng--,"Cuci bersih udang dan kentang, potong kentang jadi dadu lalu goreng kentang. Matang lalu sisihkan--Uleg bumbu sampai halus, #Note: klo sy lbh enak uleg. tumis bumbu masukan daun salam jika sudah harum masukan udang tunggu hingga udang agak matang lalu masukan kentang. tes rasa lalu aduk"" Sampai bumbu meresap dan matang--Sajikan.--",9,/id/resep/4300912-sambalado-udang-kentang
Bola Udang,Udang,"125 gr udang di haluskan--100 gr tepung tapioka--Secukupnya garam, kaldu bubuk--1 btg bawang prei--1 btr telur--3 bj Bawang putih (di haluskan)--",Campur semua bahan jadi 1. Aduk rata.--Goreng bola udang. Caranya : ambil adonan 1 sdm. Bulatkan dengan 2 sendok. Pakai ujung sendok nya untuk membuat bulatan. Lalu cemplungkan ke dalam minyak yang panas & masak dengan api sedang.--Angkat & sajikan. Bisa di taruh di sop / di makan gitu aja sama nasi panas & saus tomat / sambal.. Hmmmmm... 😘😍😘😍--,8,/id/resep/4300678-bola-udang
Sambal Goreng Udang Pete,Udang,"300 gr udang segar, bersihkan--4 bh kentang, kupas dan potong--100 gram isi petei--Air jeruk nipis--1 bh tomat, iris--secukupnya Garam dan gula--Minyak goreng--Haluskan:--12 butir cabe merah--5 siung bwg merah--2 siung bwg putih--","Bumbui udang dg garam dan jeruk nipis, sisihkan--Panaskan minyak, goreng kentang hingga matang, angkat dan tiriskan--Goreng udang hingga berubah warna, angkat dan tiriskan--Selanjutnya, utk tumis bumbu halus, panaskan lg minyak, tumis tomat hingga layu, masukkan pete, tambahkan bumbu halusnya, kecilkan api, tambahkan garam dan gula,masak hingga pete matang,aduk rata--Campurkan semua bahan yg digoreng tadi, aduk rata--Angkat dan sajikan--",12,/id/resep/4300213-sambal-goreng-udang-pete
Udang pedas saus tiram,Udang,"1/4 udang cuci bersih hilangkan kulitnya--3 bawang putih--1/2 bawang bombay--1 daun jeruk dan sere--5 cabe rawit,dan 3 cabe merah--secukupnya Gula jawa,penyedap dan garam,--3 sdm saus pedas,saus tiram--secukupnya Air--Dan minyak untk menumis--1 iris jeruk nipis--","Bersihkan udang,dan hilangkan kulit,beri jeruk nipis dan garam sejumpit,lalu diamkan--Tumbuk bawang putih,sere,iris bawang bombay dan cabe,lalu tumis sampai harum--Masukkan garam,penyedap,gula,saus--Setalah itu masukkan udang tumis sampai kemerah2an,tambahkan air secukupnya,rasakan dan hidangkan..--",14,/id/resep/4297083-udang-pedas-saus-tiram
Oseng Pare Tempe Udang Kecepe ,Udang,"1 buah pare besar dipotong kecil2 (beri garam diremas2 lalu cuci bersih, ulangi sekali lagi diremas hingga pare layu diamkan sebentar lalu dicuci bersih)--2 sdm udang kecepe--1/3 papan tempe iris korek api--5 butir bawang merah iris--2 siung bawang putih iris--5 buah cabe merah potong serong--5 buah cabe rawit potong serong--2 helai daun salam--1 ruas lengkuas keprek--Garam dan Gula--","Goreng udang kecepe hingga agak kering, sisihkan, Goreng tempe lalu sisihkan--Gunakan minyak bekas goreng udang kecepe lalu masukkan bawang merah, bawang putih, daun salam, lengkuas, cabe merah dan rawit, tumis hingga layu--Masukkan pare, beri garam dan gula, masak hingga pare matang, terakhir masukkan udang kecepe dan tempe yg sdh digoreng aduk rata, koreksi rasa, angkat sajikan.--",12,/id/resep/4244301-oseng-pare-tempe-udang-kecepe-tidak-pahit
Tumis Udang & Sayur,Udang,"250 gr udang--Secukup nya brokoli--1 buah wortel--1/2 buah bawang bombay--1 siung bawang putih, parut--1 sdt saus tiram--Secukup nya air--Secukup nya lada putih bubuk--2 sdm minyak utk menumis--","Tumis bawang bombay dan bawang putih hingga layu dan harum--Masuk kan udang masak hingga matang--Masuk kan brokoli dan wortel yg sdh di potong sesuai selera--Tambahkan sedikit air aduk hingga merata, rebus sebentar--Masuk kan saus tiram dan lada putih bubuk, kemudian tes rasa--Sajikan dengan nasi panas--",32,/id/resep/4293571-tumis-udang-sayur
Udang brokoli saos mayo,Udang,250 gr udang besar kupas--Brokoli--1 sdm wijen sangrai--6 sdm tepung bumbu serbaguna--4 sdm tepung terigu--secukupnya Air--Saos mayo (campur jd 1):--4 sdm mayonnaise--1 sdm susu kental manis--1 buah jeruk nipis ambil airnya--,"Potong2 brokoli per kuntum, rendam di air garam 15 menit. Setelah itu bilas. Rebus sebentar, tiriskan, rendam di air es supaya warna hijaunya bagus dan crunchy. Sisihkan.--Campurkan tepung2an, cairkan dengan air sampai menjadi adonan kental. Masukkan udang, goreng dalam minyak banyak.--Ambil piring saji, letakkan udang gor tep di tengah piring, brokoli di samping2nya. Lalu masukkan sedikit saos mayo ke dlm plastik segitiga, siram dengan saos mayo. Terakhir taburi dengan wijen sangrai--Sajikan hangat 😊--",12,/id/resep/4291435-udang-brokoli-saos-mayo
Mie Jawa Udang Telur Sosis,Udang,3-5 siung bawang putih--3-5 siung bawang merah--4 buah cabe merah--3 buah cabe setan (optional bisa ditambah jika ingin pedas)--500 ml air--1 butir telur ayam--1 genggam udang kupas--2 sosis ayam (iris serong)--secukupnya Sawi (iris)--secukupnya Kecap manis--secukupnya Garam--2 sdm minyak goreng--3-4 keping mie telor (saya gunakan merk mie burung d*ra)--,"Rebus bawang putih, bawang merah, cabe, setelah empuk tiriskan lalu ulek seperti sambel--Panaskan minyak, masukkan bahan yg sudah diulek, tumis sampai harum. Masukkan telur, tumis tumis lalu masukkan air perlahan.--Setelah lumayan mendidih masukkan mie telor.--Masukkan udang, sosis,lalu tambahkan kecap dan garam secukupnya.--Terakhir masukkan daun sawi, aduk aduk. Koreksi rasa👌--Mie Jawa Udang Telur Sosis siap disantap👌--",8,/id/resep/4291012-mie-jawa-udang-telur-sosis
Bola bola ayam udang (bakso ayam udang sayur) menu anak,Udang,250 gr ayam (blender)--100 gr udang (cincang kasar)--1 bh telur--5 sdm tepung tapioka--5 sdm tepung terigu--2 batang daun bawang (iris)--1/2 wartel (potong dadu)--1 sdm saus tiram--1 sdm Garam--1/2 sdt Lada bubuk--3 bh bawang putih (haluskan)--1 sdm Kecap asin--,"Cuci bersih ayam yang sebelumnya sudh diberi garam dn jeruk nipis. Lalu blender--Kupas udang dan cuci bersih, lalu potong kecil (potong dadu/ cincang)--Campur semua bahan--Setelah tercampur rata, siapkan panci dengan air, nyalakan kompor dengan api sedang.--Bentukin adonan dengan tangan yang telah dilemuri dengan minyak (supaya tangan tidak lengket) Sebanyak +- 1sdm adonan--Masukan adonan yang sudh dibentuk kedalam air yang sudah mendidih--Masak hingga mateng (sampai bakso nya naik kepermukaan)--Matikan api,dan tiriskan dengan saringan--Kalau sudah kering atau dingin, bakso bisa disimpan di freezer atau bisa diolah lagi menurut selera 😊--",12,/id/resep/4290146-bola-bola-ayam-udang-bakso-ayam-udang-sayur-menu-anak
Udang Saus Tomat Pedas,Udang,"250 gr Udang Segar--7 sdm Saus Tomat (Delmonte)--2 sdm Saus Sambal (ABC Ayam Goreng)--1/2 ptg Bawang Bombay--50 ml Air--3 sdm Minyak Goreng--1 Btg Daun Bawang--2 sdt Daun oregano kering--4 tetes Magie penyedap--Garam, Gula dan Lada putih/Merica--","Bersihkan udang, kalo saya sih kepalanya dibuang. terus kasih perasan jeruk nipis.--Iris Bawang bombay dan bawang daun, kemudian panaskan minyak pada wajan, tumis hingga wangi kemudian masukan udang yg sudah dibersihkan tadi sampai kemerahan.--Masukan air, saus tomat, saus sambal. kemudian aduk merata, tambahkan garam, gula, merica dan daun oregano, lalu aduk merata hingga matang.--Udang Saus Tomat Pedas siap di hidangkan ❤️❤️--",9,/id/resep/4290488-udang-saus-tomat-pedas
Udang goreng saus tomat,Udang,"250 gr udang, buang kepalanya--1 sdt garam--1/4 sdt black pepper bubuk--1/4 sdt garlic powder--Bahan saus:--1 siung bawang putih--4 sdm saus tomat botolan--1/2 sdt tepung maizena, cairkan dgn sedikit air--Gula pasir--Garam--Merica bubuk--Air panas--","Campur udang yg telah bersih dengan garam, merica dan garlic powder, goreng dengan minyak banyak api sedang hingga matang dan garing, angkat, sisihkan--Panaskan 1 sdm minyak, masukkan bawang putih geprek, tumis hingga harum,tambahkan saos tomat + air panas, aduk hingga saos tercampur rata dengan air, tambahkan garam, merica dan gula pasir sesuai selera, tambahkan cairan maizena, aduk2 hingga mengental, masukkan udang goreng, aduk cepat merata, buang bawang putihnya, angkat, sajikan panas.--",11,/id/resep/4285769-udang-goreng-saus-tomat
Pangek Telor Puyuh Udang ,Udang,20 butir telor puyuh yg sdh direbus--1/4 kg udang Ukuran sedang buang kulit belah punggungnya--1 btr Santan kental dari  kelapa--Minyak Kelapa untuk menumis--Daun2 sereh salam daun jeruk--1 buah asam kandis kering (kalo ada)--Garam Himalaya--Penyedap (selera)--Bumbu Ulek/blender :--6 siung Bawaang Merah--4 siung Bawang Putih--8 buah Cabe Merah (selera)--Kunyit--Jahe--Laos (cukup digeprek)--Kemiri--,"Panaskan minyak, tumis bumbu uleg, masukkan daun2,,,--Setelah wangi masukkan santan aduk sampai agak mengental dan mulai agak berminyak--Setelah itu masukkan telor puyuh dan udang.--Biarkan sampai santannya mulai agak2 mengering hampir seperti rendang--Cicip rasa tambahkan garam dan penyedap (selera)--Siap disajikan, taburi dengan bawang goreng.--",28,/id/resep/4269873-pangek-telor-puyuh-udang-ala-niceketo-ketopad_cp_aneka-telor
Kuah bakso udang jamur,Udang,300 gr udang basah kupas cincang--50 gr soun rendam hingga mekar..potong2--5 buah jamur kuping *3 dicincang halus 2 utuh--Daun bawang secukup nya--3 siung bawang putih haluskan--1 butir putih telur--1 sdm tepung sagu/ tepung tapioka/kanji--1/2 sdt merica bubuk--Garam gula secukup nya--Kaldu jamur secukup nya--2 cm jahe keprok--5 siung Bawang putih goreng( saya gk pake habis😑--1 buah wortel kupas iris2--1/2 buah tomat iris2--Air secukup nya--,Membuat bahan 1: campur udang cincang dan jamur cincang bawang putih dan tepung kanji / tapioka..beri garam dan merica / lada bubuk sesuai selera sampai rasa nya pas..sisihkan--Rebus air sampai mendidih..kl kuah mau banyak tinggal tambah sesuai selera aja..saya main kira2 aja...masukan wortel..dan jahe aduk sampai wortel agk empuk--Lalu ambil sedikit adonan udang di ujung sendok..lalu ambil lagi / sorong kedalm masakan dengn sendok yg lain..krn kalo menggunakan tangn akan lengket..lakukan sampai adonan habis..aduk sampai si adonan udang mengapung..buang buih atau busa yg mengapung oada sop ya.. lalu masukan sisa jamur kuping dan irisan tomat beri rasa garam gula dan kaldu jamur sesuai selera..kl gk ada kaldu jamur royco masako Dll pun boleh sesuai selera aja--Terakhir tambahkan soun dan daun bawang langsung matikan api..jangn lama2 ya ntr soun nya lembek banget..angkat sajikan beri taburan bawang putih goreng--,17,/id/resep/4238760-kuah-bakso-udang-jamur
"Udang Balado ""Jawa""",Udang,1/2 kg udang--10 cabe merah--3 cabe rawit--8 bawang merah--Lemon atau jeruk nipis (optional)--Minyak goreng--1/2 sdm garam--1/2 sdm gula--,"Bersihkan udang setelah itu panaskan minyak dan goreng udah 1/2 matang. Kenapa hanya 1/2 matang? Karena nanti udah akan mengeras jika digoreng terlalu matang, mau digoreng lagi nnt bareng cabe--Potek cabe merah dan cabe rawit masukan ke blender. Blender 5 detik. Kemudian pisahkan biji cabe dengan cabenya. Caranya, cabe dituang ke wadah pelan2 nanti di akhir akan ada biji2 cabe. Tujuannya agar bumbu tidak terlihat titik2 putih. Tidak perlu sampai semua biji hilang.--Blender cabe merah dan cabe rawit yg tadi ditambah dengan bawang merah dan tomat. Tomat di potong 2 terlebih dahulu. Blender 10 detik (sesuai selera apakah lebih suka bumbu yang halus atau agak kasar)--Masukan bumbu yang sudah komplit diblender ke penggorengan. Tunggu sekitar 5 menit hingga air hilang. Tambahkan garam 1/2 sdm. Aduk aduk hingga rata.--Masukan minyak goreng sekitar 7 sdm. Masukan gula 1/2 sdm. Aduk aduk.--Masukan udah yang telah digoreng 1/2 matang. Aduk aduk 1 menit dan hidangkan.--",9,/id/resep/4282616-udang-balado-jawa
Udang tumis bumbu,Udang,500 gram udang--1 buah jeruk nipis--5 siung bawang putih--3 siung bawang merah--4 buah kemiri--1 1/2 cabai merah besar (jk ukuran nya agak kecil boleh 2)--1/2 bawang bombai (jk ukuran besar)--1 batang daun bawang--1/2 sdm saus tiram--Secukupnya kecap manis--Secukupnya garam--Secukupnya gula--Secukupnya ladaku--Secukupnya air matang--Secukupnya minyak goreng--,"Bersihkan udang, kerat punggung nya sisakan ekor nya, cuci sampai bersih, sisihkan--Beri udang dgn perasan air jeruk nipis, diam kan -+ 15menit agar bau amis nya berkurang, lalu cuci bersih berulang2, sisihkan--Siapkan wajan beri minyak goreng secukupnya dgn api sedang, goreng udang sampai setengah matang dan agak berubah warna, angkat, sisihkan (kalau sya lbh suka sperti ini, karna menurut suami biar si udang nya tdk terlalu kenyal dan lembek)--Haluskan bawang putih, bawang merah, kemiri dan cabai merah besar, sisihkan--Lalu tumis bumbu halus dan bawang bombai, tunggu sampai harum dan bombai nya layu--Lalu masukkan udang, aduk rata, lalu beri air matang secukupnya, aduk lg sampai smua merata--Lalu beri garam, gula, lada, kecap manis, saus tiram, aduk rata dan cicipi rasa--Masukkan daun bawang--Harus terus diaduk ya, biar udang nya meresap dgn bumbu nya--Stelah udang nya terlihat sdh menyatu dgn bumbu, angkat dan sajikan 😍--",11,/id/resep/4282174-udang-tumis-bumbu
Udang sawi putih bumbu balado,Udang,"1/2 kg Udang--Seikat sawi putih,iris sesuai selera--6 btr bawang merah--3 btr bawang putih--10 bh cabe merah besar--5 bh cabe rawit--1 btg sereh digeprek--2 lmbr daun salam--2 lmbr daun jeruk--2 cabe ijo besar iris serong--Secukupny garam, gula, minyak goreng, air--Minyak zaitun bbrapa tetes(klo ada)--Bawang bombay iris tipis(optional)--","Goreng udang setengah matang, sisihkan--Ulek bawang merah, bawang putih dan cabe--Tumis bawang bombay dan bumbu yg sdh diulek sampai harum.. Masukkan daun salam, sere, daun jeruk dan irisan cabe hijau--Tambahkan air secukupnya..stelah mendidih masukkan udang.. Aduk sebentar.--Koreksi rasa dgn menambahkan gula, garam minyak zaitun, masako klo perlu--Masukkan sawi putih hingga matang--Siap disajikan.. Slamat menikmati--",16,/id/resep/4281641-udang-sawi-putih-bumbu-balado
"Udang, wortel dan tahu asam manis",Udang,1/4 udang--1 buah wortel--5 buah tahu potong dadu--2 buah bawang merah--1 buah bawang putih--1/2 buah bawang bombai--4 sdm saos sambal--5 sdm saos tomat--2 sdm saos tiram--1 gelas air matang--Secukupnya--Garam--Merica bubuk--Penyedap rasa--,"Tumis bawang merah, bawang putih dan bawang bombai, lalu masukkan udang dan wortel--Tambahkan air, tunggu sampai mendidih--Lalu masukkan tahu, beri saos sambal, saos tomat dan saos tiram, tambahkan garam, merica bubuk dan penyedap rasa, matikan api--Udang, wortel dan tahu asam manis siap disantap bersama nasi hangat--NB : tahu nya digoreng setengah kering yaa--",11,/id/resep/4280407-udang-wortel-dan-tahu-asam-manis
Tumis bawang rambut udang pape,Udang,1 ikat bawang rambut--20 gram udang pape--4 buah cabe--Garam dan kaldu--,Rendam sebentar udang dan cuci bersih. Potong daun bawang dan cabe--Tumis semua bahan hingga harum tambah kan sedikit air berikan garam dan kaldu. Masak hingga air berkurang.--,12,/id/resep/4279786-tumis-bawang-rambut-udang-pape
